"","Team 1 Name","Team 1 Points","Team 2 Name","Team 2 Points"
"1","Steamboat Willy",123.29,"Láser Prick",119.89
"2","Eric R's Team",144.24,"Láser Prick",152.6
"3","Smoking darts N Riding quads",140.9,"Láser Prick",238.24
"4","Láser Prick",108.52,"On Burrowed Time",113.4
"5","I LoVe Big TDs ( . )( . )",165.42,"Láser Prick",150.49
"6","Allegedly",119.12,"Láser Prick",173.69
