Timestamp,gender,grade,ice_cream,exercise,landmark,farm_animal,cuisine,free_time,sport,social_media,grocery_store,languages,birth_season,fav_game,gaming_system,holiday,pets,dining_out_weekly,time_hobbies,daily_snacks,time_social_media,minutes_homework,weighted_gpa,time_morning_routine,num_states,time_sleep
5/14/2026 14:40:28,Female,Freshman,Mint Chip,other,D) Great Wall of China,Pig,Asian,Watching TV or YouTube,Tennis,Instagram,Costco,Other,Winter,Roblox,Mobile,Christmas,3,1,1,5,300,120,4.1,45,3,7
5/14/2026 14:46:19,Female,Freshman,Chocolate,yoga/stretching,H) Christ the Redeemer,All of the above,Other,Hanging out with friends,Soccer,Youtube,Costco,None,Spring,Minecraft,Mobile,Christmas,0,1,6,7,50,120,4.8,10,3,8
5/14/2026 14:51:41,Female,Senior,other,sports,A) Eiffel Tower,Chicken,Other,Watching TV or YouTube,Volleyball,TikTok,Other,Arabic,Spring,Roblox,Mobile,Christmas,3,1,2,3,600,240,4.5,25,3,5
5/14/2026 14:55:36,Male,Senior,cookie dough,weight lifting,E) Grand Canyon,Horse,American,Hanging out with friends,Baseball,Instagram,Costco,None,Summer,Other,PC,Christmas,2,2,4,3,300,30,4,30,28,6.5
5/14/2026 15:04:16,Female,Freshman,other,swim,J) Other,Sheep,Asian,"Creative hobbies (drawing, music, etc.)",Tennis,Instagram,Costco,None,Autumn,Other,Switch,Christmas,9,1,1,4,90,120,4.1,30,4,6
5/14/2026 15:17:38,Female,Junior,other,yoga/stretching,F) Machu Picchu,Horse,Mexican,"Creative hobbies (drawing, music, etc.)",Soccer,Instagram,Sprouts,None,Summer,None,Other,Halloween,4,2,1,4,80,15,4.2,30,10,7
5/14/2026 15:36:50,Female,Senior,Vanilla,swim,A) Eiffel Tower,Horse,Mexican,"Creative hobbies (drawing, music, etc.)",Volleyball,Instagram,Stater Bros.,None,Winter,None,Playstation,Christmas,6,3,5,4,300,120,4.5,20,12,6
5/14/2026 15:43:59,Male,Sophomore,cookie dough,sports,D) Great Wall of China,Chicken,Mexican,Working out / sports practice,Soccer,X/Twitter,Sprouts,Spanish,Autumn,Other,PC,Christmas,1,1,3,1,40,70,4.2,30,4,7
5/14/2026 15:54:17,Male,Freshman,cookie dough,weight lifting,A) Eiffel Tower,All of the above,Mexican,Hanging out with friends,Soccer,Instagram,Stater Bros.,Spanish,Summer,Other,Playstation,Other,10,1,0,2,67,401,1,20,3,5
5/14/2026 16:25:19,Female,Junior,Mint Chip,swim,A) Eiffel Tower,Horse,Mexican,Hanging out with friends,Football,Instagram,Trader Joes,None,Summer,None,Playstation,Easter,1,1,1,2,120,60,3.7,40,20,8
5/14/2026 16:53:36,Male,Sophomore,Mint Chip,sports,C) Mount Rushmore,Horse,European,Hanging out with friends,Basketball,Youtube,Stater Bros.,Arabic,Summer,Fortnite,Xbox,Thanksgiving,0,2,3,2,60,60,4.2,20,3,8
5/14/2026 16:58:09,Female,Junior,Cookies and Cream,swim,A) Eiffel Tower,Chicken,Mexican,"Creative hobbies (drawing, music, etc.)",Basketball,Youtube,Sams Club / Walmart,Other,Autumn,Fortnite,Switch,Halloween,3,1,2,3,60,270,3.8,10,15,8
5/14/2026 17:12:09,Male,Sophomore,Cookies and Cream,sports,B) Pyramids of Giza,Goat,Other,Working out / sports practice,Soccer,Instagram,Costco,Arabic,Autumn,Other,Xbox,Easter,0,0,2,4,120,140,4.2,15,6,8
5/14/2026 18:02:15,Male,Freshman,Mint Chip,sports,F) Machu Picchu,Horse,Mexican,Playing video games,Soccer,Youtube,Trader Joes,Spanish,Winter,Other,Switch,Thanksgiving,2,1,2,3,30,60,3.1,20,5,8
5/14/2026 18:24:05,Female,Senior,cookie dough,sports,J) Other,Horse,Indian,Playing video games,Soccer,Instagram,Stater Bros.,None,Spring,Fortnite,PC,Christmas,0,2,2,3,120,180,4.5,20,9,6
5/14/2026 18:36:04,Female,Junior,other,sports,J) Other,Goat,Other,Hanging out with friends,Soccer,Instagram,Stater Bros.,None,Autumn,Minecraft,Other,Halloween,0,4,1,3,150,0,4.7,15,12,8
5/14/2026 18:37:00,Male,Freshman,Cookies and Cream,weight lifting,D) Great Wall of China,Horse,Mexican,Hanging out with friends,Football,Instagram,Sams Club / Walmart,Spanish,Winter,Roblox,PC,Christmas,1,0,1,0,150,180,3.4,15,14,7.5
5/14/2026 19:31:03,Female,Sophomore,Cookies and Cream,swim,A) Eiffel Tower,Horse,American,Watching TV or YouTube,Volleyball,Youtube,Costco,None,Autumn,Roblox,Xbox,Christmas,1,3,2,3,120,60,4.3,30,8,7
5/14/2026 20:32:17,Male,Senior,Strawberry,other,D) Great Wall of China,Goat,Mexican,"Creative hobbies (drawing, music, etc.)",Soccer,Instagram,Sams Club / Walmart,Spanish,Autumn,Roblox,Playstation,Halloween,6,1,3,4,40,180,3.6,15,11,7
5/14/2026 20:40:56,Female,Junior,other,sports,F) Machu Picchu,Horse,Asian,"Creative hobbies (drawing, music, etc.)",Soccer,Instagram,Stater Bros.,None,Autumn,Tomodachi Life,Switch,Christmas,2,1,5,10,105,120,4.8,30,5,6
5/14/2026 21:17:43,Female,Sophomore,Strawberry,weight lifting,E) Grand Canyon,Pig,European,Working out / sports practice,Tennis,Instagram,Costco,None,Summer,None,Switch,4th of July,3,0,3,4,80,50,4.6,20,6,8
5/14/2026 21:32:03,Female,Sophomore,Cookies and Cream,sports,A) Eiffel Tower,Goat,Asian,Sleeping / resting,Soccer,TikTok,Sams Club / Walmart,None,Winter,Roblox,PC,Christmas,2,1,1,5,200,30,4,60,30,8
5/15/2026 7:28:10,Male,Sophomore,Cookies and Cream,swim,F) Machu Picchu,Chicken,Mexican,Watching TV or YouTube,Soccer,Instagram,Costco,None,Spring,Minecraft,Playstation,Christmas,1,3,3,2,210,90,4.4,30,3,7
5/15/2026 8:37:51,Male,Senior,cookie dough,sports,J) Other,Horse,Mexican,Hanging out with friends,Volleyball,Instagram,Stater Bros.,None,Spring,Roblox,PC,Thanksgiving,2,2,6,1,120,10,3.7,10,16,8
5/15/2026 8:38:55,Female,Junior,cookie dough,other,G) Stonehenge,Pig,Mexican,"Creative hobbies (drawing, music, etc.)",Football,Youtube,WinCo,None,Summer,None,Playstation,Christmas,5,1,2,2,120,20,4.5,30,2,8
5/15/2026 8:42:52,Male,Junior,Cookies and Cream,swim,D) Great Wall of China,Horse,European,Hanging out with friends,Volleyball,TikTok,WinCo,None,Autumn,Roblox,PC,Christmas,3,3,1,3,150,60,3.8,60,10,7
5/15/2026 8:44:06,Female,Senior,Chocolate,other,D) Great Wall of China,Goat,Asian,Playing video games,Tennis,Instagram,Costco,Other,Spring,Other,PC,Halloween,1,0,1,0,53,0,3.6,60,4,6
5/15/2026 8:45:30,Male,Sophomore,cookie dough,sports,F) Machu Picchu,Pig,European,Working out / sports practice,Soccer,Instagram,Costco,"Spanish, Other",Winter,Other,Mobile,Christmas,1,2,2,5,90,30,4.1,30,7,8
5/15/2026 8:48:26,Male,Junior,cookie dough,weight lifting,A) Eiffel Tower,Chicken,Mexican,Hanging out with friends,Soccer,Instagram,Stater Bros.,None,Summer,Roblox,PC,Other,6,2,6,2,180,60,3.6,7,4,7
5/15/2026 8:53:35,Male,Sophomore,cookie dough,sports,H) Christ the Redeemer,Horse,Mexican,Working out / sports practice,Football,Instagram,Costco,None,Summer,Fortnite,Xbox,Christmas,2,5,4,3,1,0,3.4,1,14,7
5/15/2026 8:53:43,Male,Sophomore,Vanilla,sports,J) Other,Horse,European,Working out / sports practice,Basketball,TikTok,Sprouts,None,Autumn,Other,Mobile,Christmas,1,0,2,4,60,10,4.3,60,15,8
5/15/2026 8:54:21,Female,Sophomore,Strawberry,swim,A) Eiffel Tower,Horse,Asian,Working out / sports practice,Tennis,Instagram,Trader Joes,Spanish,Winter,None,Other,Easter,8,0,3,0,30,40,4.1,60,4,8
5/15/2026 8:57:43,Female,Sophomore,other,other,A) Eiffel Tower,Chicken,Mexican,Hanging out with friends,Soccer,TikTok,Costco,Spanish,Autumn,None,Playstation,Christmas,2,2,1,1,6,15,3.6,60,7,7
5/15/2026 8:58:56,Male,Sophomore,Mint Chip,sports,C) Mount Rushmore,Cow,American,Playing video games,Volleyball,Youtube,Costco,None,Autumn,Roblox,PC,Halloween,1,0,5,1,60,0,4.2,9,4,8
5/15/2026 9:02:47,Female,Sophomore,Mint Chip,sports,B) Pyramids of Giza,Goat,Mexican,"Creative hobbies (drawing, music, etc.)",Baseball,Instagram,Stater Bros.,None,Spring,Roblox,Mobile,Thanksgiving,3,2,2,3,60,120,4.2,45,13,6
5/15/2026 9:06:52,Male,Sophomore,Mint Chip,sports,J) Other,Chicken,Mexican,Hanging out with friends,Soccer,TikTok,Costco,None,Summer,Other,PC,Christmas,2,1,1,4,60,30,3.4,60,7,7
