Timestamp,gender,grade,ice_cream,exercise,landmark,farm_animal,cuisine,free_time,sport,social_media,grocery_store,languages,birth_season,fav_game,gaming_system,holiday,pets,dining_out_weekly,time_hobbies,daily_snacks,time_social_media,minutes_homework,weighted_gpa,time_morning_routine,num_states,time_sleep
5/14/2026 12:19:15,Male,Freshman,Vanilla,swim,A) Eiffel Tower,Other,Mexican,Playing video games,Baseball,Youtube,Costco,Spanish,Summer,Other,Xbox,Christmas,5,3,3,8,135,250,1.6,60,2,6
5/14/2026 12:20:30,Female,Sophomore,Chocolate,swim,A) Eiffel Tower,Goat,Asian,Working out / sports practice,Volleyball,TikTok,Costco,None,Spring,Roblox,Mobile,Christmas,16,4,3,2,240,360,3.8,40,15,7
5/14/2026 12:20:37,Male,Senior,Cookies and Cream,sports,A) Eiffel Tower,All of the above,Asian,Playing video games,Soccer,Youtube,Trader Joes,None,Spring,Other,Xbox,Christmas,3,1,4,1,60,90,4,15,5,7
5/14/2026 12:20:52,Male,Junior,other,other,D) Great Wall of China,Horse,American,Playing video games,Soccer,Youtube,Stater Bros.,Other,Spring,Other,PC,Christmas,3,1,2,1,30,0,4.4,5,9,8
5/14/2026 12:20:55,Female,Junior,Cookies and Cream,sports,H) Christ the Redeemer,Horse,Mexican,Hanging out with friends,Volleyball,TikTok,Trader Joes,Spanish,Autumn,Roblox,Switch,Halloween,1,7,5,10,300,120,3.8,120,4,6
5/14/2026 12:20:58,Female,Senior,Strawberry,weight lifting,H) Christ the Redeemer,Chicken,Mexican,Hanging out with friends,Soccer,Instagram,Stater Bros.,Spanish,Summer,Minecraft,Xbox,Christmas,1,2,1,3,180,240,4,60,5,7
5/14/2026 12:20:59,Female,Sophomore,Chocolate,other,H) Christ the Redeemer,Horse,Indian,"Creative hobbies (drawing, music, etc.)",Football,TikTok,Costco,None,Winter,Roblox,Switch,Christmas,8,1,2,1,80,45,3.7,60,8,8
5/14/2026 12:22:33,Female,Junior,Cookies and Cream,sports,A) Eiffel Tower,Horse,American,Sleeping / resting,Tennis,TikTok,Stater Bros.,Other,Autumn,Tomodachi Life,Switch,Christmas,0,0,5,2,400,20,3.9,38,2,6
5/14/2026 12:22:38,Male,Senior,Vanilla,weight lifting,D) Great Wall of China,All of the above,Asian,Hanging out with friends,Basketball,TikTok,Trader Joes,Other,Winter,Roblox,PC,Christmas,0,2,3,2,120,60,3.8,50,8,6
5/14/2026 12:22:40,Male,Junior,Vanilla,sports,A) Eiffel Tower,Cow,Mexican,Working out / sports practice,Baseball,Youtube,Costco,None,Winter,None,Other,Christmas,3,2,12,2,0,120,3.3,30,5,8
5/14/2026 12:22:49,Female,Sophomore,Cookies and Cream,sports,G) Stonehenge,All of the above,Mexican,"Creative hobbies (drawing, music, etc.)",Soccer,Instagram,Stater Bros.,None,Autumn,None,Playstation,Halloween,4,2,1,2,58,45,4,32,10,8
5/14/2026 12:22:49,Female,Freshman,Chocolate,sports,A) Eiffel Tower,Chicken,Mexican,Hanging out with friends,Volleyball,TikTok,Sams Club / Walmart,Spanish,Winter,Roblox,Switch,Halloween,0,2,4,4,120,120,3,38,2,7
5/14/2026 12:23:15,Male,Senior,Vanilla,sports,D) Great Wall of China,All of the above,Asian,Hanging out with friends,Tennis,Instagram,Other,Other,Winter,None,Mobile,Christmas,10,4,3,3,4,2,4.7,20,10,7
5/14/2026 12:23:18,Female,Junior,cookie dough,swim,A) Eiffel Tower,Goat,Mexican,Hanging out with friends,Volleyball,Instagram,Stater Bros.,None,Winter,Roblox,PC,Halloween,1,6,2,3,500,40,3.8,15,5,9
5/14/2026 12:23:21,Female,Freshman,Mint Chip,swim,A) Eiffel Tower,Sheep,Mexican,Watching TV or YouTube,Volleyball,Instagram,Costco,Spanish,Autumn,Roblox,Mobile,Thanksgiving,1,3,3,2,120,180,3.1,35,2,7
5/14/2026 12:23:23,Male,Freshman,Chocolate,other,E) Grand Canyon,Other,Asian,Doing homework or studying,Soccer,Youtube,Costco,Other,Spring,Roblox,PC,Halloween,1,3,24,3,35,180,3.6,60,2,6
5/14/2026 12:23:36,Male,Freshman,Vanilla,weight lifting,D) Great Wall of China,Other,Asian,Playing video games,Basketball,Youtube,Stater Bros.,Other,Summer,Other,Playstation,Christmas,3,0,6,5,150,75,3.4,45,8,4
5/14/2026 12:23:38,Female,Freshman,Mint Chip,swim,J) Other,All of the above,Asian,"Creative hobbies (drawing, music, etc.)",Volleyball,TikTok,Other,Other,Winter,Tomodachi Life,Xbox,Christmas,3,2,9,4,147,231,3.8,30,7,5
5/14/2026 12:24:07,Male,Freshman,cookie dough,sports,G) Stonehenge,Chicken,Mexican,Playing video games,Basketball,Youtube,Sams Club / Walmart,None,Summer,Other,Playstation,Christmas,1,2,4,3,40,120,3.7,15,3,6
5/14/2026 12:24:25,Female,Freshman,Chocolate,swim,A) Eiffel Tower,Horse,Mexican,Watching TV or YouTube,Volleyball,Instagram,Sams Club / Walmart,None,Spring,None,Mobile,Christmas,1,0,5,5,60,240,1.8,30,5,8
5/14/2026 12:25:20,Female,Sophomore,cookie dough,sports,H) Christ the Redeemer,Goat,European,Sleeping / resting,Soccer,Instagram,Costco,None,Winter,Other,PC,Christmas,4,1,3,1,30,0,4.5,20,11,7
5/14/2026 12:25:25,Male,Junior,Cookies and Cream,sports,A) Eiffel Tower,Cow,Mexican,Working out / sports practice,Football,Youtube,Trader Joes,None,Winter,Other,Playstation,Christmas,14,1,1,2,15,20,4,25,7,8
5/14/2026 12:25:27,Prefer Not to Say,Junior,other,other,A) Eiffel Tower,Chicken,Mexican,Playing video games,Tennis,Instagram,Trader Joes,None,Summer,Tomodachi Life,PC,Christmas,3,2,1,4,120,60,2.5,20,5,6
5/14/2026 12:25:53,Male,Freshman,cookie dough,sports,A) Eiffel Tower,Chicken,Mexican,Hanging out with friends,Tennis,TikTok,Costco,None,Winter,Roblox,PC,Christmas,0,1,1,2,45,120,4.2,30,11,6
5/14/2026 12:26:41,Female,Sophomore,Cookies and Cream,sports,D) Great Wall of China,Horse,Other,Sleeping / resting,Volleyball,TikTok,Stater Bros.,None,Winter,Tomodachi Life,Switch,4th of July,8,4,2,3,60,120,3,15,8,7
5/14/2026 12:26:44,Male,Freshman,Chocolate,sports,J) Other,Horse,European,Playing video games,Football,Youtube,Costco,None,Spring,Other,Switch,Christmas,2,3,8,1,90,240,4,75,7,7
5/14/2026 12:26:45,Female,Freshman,Cookies and Cream,other,F) Machu Picchu,Goat,Indian,Playing video games,Tennis,Youtube,Costco,Other,Summer,Other,Mobile,Other,0,0,5,4,90,50,4.1,15,5,6
5/14/2026 12:27:03,Male,Freshman,Mint Chip,weight lifting,H) Christ the Redeemer,All of the above,Asian,Working out / sports practice,Football,Instagram,Stater Bros.,None,Winter,Roblox,PC,Christmas,1,3,4,2,184,100,3.6,5,7,4
5/14/2026 12:27:09,Male,Freshman,cookie dough,other,H) Christ the Redeemer,Cow,European,"Creative hobbies (drawing, music, etc.)",Baseball,Youtube,Stater Bros.,None,Winter,Other,PC,Christmas,2,6,6,2,60,45,3.6,15,3,7
5/14/2026 12:27:19,Male,Freshman,Cookies and Cream,sports,H) Christ the Redeemer,Chicken,Asian,Hanging out with friends,Basketball,TikTok,WinCo,None,Spring,Roblox,PC,Christmas,2,1,2,3,45,120,3.9,60,2,8
5/14/2026 12:27:27,Male,Freshman,Cookies and Cream,weight lifting,H) Christ the Redeemer,Horse,American,Playing video games,Football,TikTok,Costco,None,Winter,Other,Playstation,Christmas,1,2,5,3,50,20,3.5,20,3,7
5/14/2026 12:27:48,Male,Freshman,Mint Chip,other,F) Machu Picchu,All of the above,European,Working out / sports practice,Tennis,Instagram,Costco,Other,Spring,Other,PC,4th of July,5,1,7,5,60,45,3.8,30,37,7.5
5/14/2026 12:28:40,Male,Freshman,other,weight lifting,F) Machu Picchu,Horse,Mexican,Playing video games,Basketball,TikTok,Costco,None,Winter,Roblox,Xbox,Thanksgiving,2,0,2,1,180,300,1.7,30,5,6
5/14/2026 12:29:54,Male,Sophomore,Vanilla,other,E) Grand Canyon,Horse,Other,School Club Activities,Volleyball,Youtube,Costco,Other,Autumn,Other,PC,Christmas,1,1,20,2,20,0,4.4,90,8,8
5/14/2026 12:30:26,Male,Freshman,cookie dough,other,D) Great Wall of China,Chicken,Asian,Working out / sports practice,Soccer,Youtube,Costco,"Spanish, Other",Winter,Other,PC,Christmas,1,1,6,5,60,0,3,2.8,16,7.75
5/14/2026 12:30:52,Non-Binary,Freshman,Mint Chip,yoga/stretching,D) Great Wall of China,Horse,Asian,Hanging out with friends,Tennis,TikTok,Costco,None,Winter,Other,Switch,Other,3,3,4,7,240,120,3.3,20,3,7
5/14/2026 12:31:51,Male,Freshman,cookie dough,weight lifting,D) Great Wall of China,All of the above,Mexican,Working out / sports practice,Baseball,Instagram,Stater Bros.,"Spanish, French",Autumn,Other,Playstation,Christmas,3,0,5,1,60,100,3.1,40,11,6
5/14/2026 12:32:10,Female,Freshman,cookie dough,sports,A) Eiffel Tower,Horse,Mexican,Sleeping / resting,Soccer,TikTok,Costco,Spanish,Winter,Roblox,Playstation,Christmas,1,4,2,2,120,90,3.6,60,3,8
