,,,,player_name,,place,round,,,course_par,score,putting_sg,chipping_sg,approach_sg,driving_sg,tee-green_sg,overall_sg,driving_dist,driving_acc,gir,scrambling,rough_prox,fairway_prox
,,,,"Pan, C.T.",,CUT,1,,,72,79,-3.572,-0.813,-0.163,0.071,-0.905,-4.477,293.3,0.643,0.722,0.333,47.676,30.091
,,,,"Pan, C.T.",,CUT,2,,,72,71,0.691,-0.394,0.473,0.559,0.638,1.33,293.9,0.786,0.833,0.286,51.672,34.648
,,,,"Perez, Victor",,CUT,1,,,72,78,-0.923,-3.064,0.001,0.51,-2.554,-3.477,289.6,0.714,0.722,0.364,60.338,32.876
,,,,"Perez, Victor",,CUT,2,,,72,73,0.471,-0.733,-0.527,0.119,-1.141,-0.67,298.3,0.857,0.667,0.5,,36.349
,,,,"Langer, Bernhard",,CUT,1,,,72,74,0.906,-1.013,1.934,-1.305,-0.383,0.523,262.9,0.786,0.556,0.556,44.255,39.88
,,,,"Langer, Bernhard",,CUT,2,,,72,77,-0.717,-1.81,-1.067,-1.077,-3.953,-4.67,262.4,0.786,0.556,0.5,86.964,29.524
,,,,"Johnson, Zach",,CUT,1,,,72,77,-0.231,-1.592,-0.014,-0.641,-2.246,-2.477,282.2,0.5,0.5,0.385,45.267,48.979
,,,,"Johnson, Zach",,CUT,2,,,72,74,-0.306,-1.075,-0.41,0.121,-1.364,-1.67,286.4,0.714,0.611,0.6,39.003,42.314
,,,,"Osborne, Charles",,CUT,1,,,72,76,0.209,0.379,-1.276,-0.789,-1.687,-1.477,296.1,0.5,0.556,0.545,65.907,40.138
,,,,"Osborne, Charles",,CUT,2,,,72,76,-2.275,-0.811,0.077,-0.662,-1.396,-3.67,304.6,0.429,0.722,0.286,42.507,43.42
,,,,"Cantlay, Patrick",,CUT,1,,,72,79,-2.182,0.235,-3.818,1.288,-2.295,-4.477,303.8,0.786,0.611,0.5,31.585,49.82
,,,,"Cantlay, Patrick",,CUT,2,,,72,73,-1.885,0.665,-0.278,0.827,1.214,-0.67,300.5,0.714,0.722,0.571,75.831,27.564
,,,,"Gay, Brian",,CUT,1,,,72,78,-0.394,-0.246,-0.677,-2.16,-3.083,-3.477,269.3,0.429,0.444,0.286,72.749,35.751
,,,,"Gay, Brian",,CUT,2,,,72,74,-0.226,1.276,-1.091,-1.629,-1.444,-1.67,287.3,0.714,0.556,0.5,69.284,48.849
